name,category,subcategory,density_g_cm3,yield_strength_mpa,tensile_strength_mpa,elastic_modulus_gpa,poisson_ratio,hardness_value,hardness_scale,thermal_conductivity_w_mk,electrical_conductivity_percent_iacs,melting_point_c,fatigue_strength_mpa,cost_usd_per_kg,corrosion_resistance
AISI 1010 (Hot-Rolled),Carbon Steels,Low-Carbon Steel,7.87,180.0,325.0,200.0,0.29,95.0,HB,49.8,12.0,1530,170,0.7,Poor
AISI 1018 (Cold-Drawn),Carbon Steels,Low-Carbon Steel,7.87,370.0,440.0,205.0,0.29,126.0,HB,51.9,12.0,1520,220,0.75,Poor
AISI 1020,Carbon Steels,Low-Carbon Steel,7.87,205.0,380.0,200.0,0.29,111.0,HB,51.9,11.0,1515,190,0.7,Poor
AISI 1045,Carbon Steels,Medium-Carbon Steel,7.85,310.0,565.0,200.0,0.29,163.0,HB,49.8,10.0,1480,280,0.85,Poor
AISI 1080,Carbon Steels,High-Carbon Steel,7.84,480.0,615.0,200.0,0.3,192.0,HB,46.9,9.0,1450,310,0.9,Poor
Structural Steel A36,Carbon Steels,Structural Steel,7.85,250.0,400.0,200.0,0.26,119.0,HB,51.9,10.0,1480,200,0.8,Poor
AISI 4140 (Q&T),Carbon Steels,Alloy Steel (Q&T),7.85,655.0,1020.0,205.0,0.29,302.0,HB,42.6,9.0,1416,510,1.3,Poor
AISI 4340 (Q&T),Carbon Steels,Alloy Steel (Q&T),7.85,862.0,1282.0,200.0,0.29,375.0,HB,44.5,8.5,1427,640,1.6,Poor
Stainless Steel 304,Stainless Steels,Austenitic Stainless,8.0,215.0,505.0,193.0,0.29,201.0,HB,16.2,2.5,1425,240,3.0,Excellent
Stainless Steel 316,Stainless Steels,Austenitic Stainless,8.0,205.0,515.0,193.0,0.3,217.0,HB,16.3,2.4,1390,250,3.6,Excellent
Stainless Steel 316L,Stainless Steels,Austenitic Stainless,8.0,170.0,485.0,193.0,0.3,149.0,HB,16.3,2.4,1390,230,3.7,Excellent
Stainless Steel 410,Stainless Steels,Martensitic Stainless,7.8,275.0,485.0,200.0,0.28,155.0,HB,24.9,3.1,1500,220,2.5,Good
Stainless Steel 420,Stainless Steels,Martensitic Stainless,7.75,345.0,655.0,200.0,0.28,50.0,HRC,24.9,3.0,1480,310,2.6,Good
Stainless Steel 430,Stainless Steels,Ferritic Stainless,7.7,310.0,450.0,200.0,0.28,155.0,HB,26.1,3.3,1480,215,2.3,Good
Stainless Steel 17-4PH,Stainless Steels,Precipitation-Hardening Stainless,7.75,1170.0,1310.0,196.0,0.27,388.0,HB,18.0,2.8,1420,650,5.0,Good
Stainless Steel 201,Stainless Steels,Austenitic Stainless,7.8,260.0,655.0,197.0,0.29,217.0,HB,16.3,2.5,1420,280,2.8,Good
Tool Steel O1,Tool Steels,Oil-Hardening Tool Steel,7.85,1380.0,1650.0,207.0,0.3,61.0,HRC,21.0,5.0,1430,700,4.0,Poor
Tool Steel A2,Tool Steels,Air-Hardening Tool Steel,7.86,1500.0,1790.0,203.0,0.3,60.0,HRC,24.0,5.5,1425,750,4.5,Fair
Tool Steel D2,Tool Steels,High-Carbon High-Chromium Tool Steel,7.7,1500.0,1900.0,210.0,0.3,61.0,HRC,20.0,4.0,1421,800,5.5,Fair
Tool Steel H13,Tool Steels,Hot-Work Tool Steel,7.8,1350.0,1600.0,210.0,0.3,52.0,HRC,24.3,5.0,1427,680,5.0,Fair
Tool Steel M2 (HSS),Tool Steels,High-Speed Tool Steel,8.1,1520.0,2170.0,220.0,0.3,65.0,HRC,19.8,4.5,1420,850,7.0,Poor
Tool Steel S7,Tool Steels,Shock-Resisting Tool Steel,7.75,1450.0,1930.0,210.0,0.3,57.0,HRC,22.0,5.0,1430,780,5.2,Fair
Aluminum 1100,Aluminum Alloys,1xxx Series (Pure Aluminum),2.71,34.0,90.0,69.0,0.33,23.0,HB,218.0,59.0,660,34,2.0,Excellent
Aluminum 2024-T3,Aluminum Alloys,2xxx Series (Al-Cu),2.78,345.0,483.0,73.1,0.33,120.0,HB,121.0,30.0,638,138,3.5,Fair
Aluminum 3003-H14,Aluminum Alloys,3xxx Series (Al-Mn),2.73,145.0,150.0,69.0,0.33,40.0,HB,159.0,42.0,650,60,2.1,Excellent
Aluminum 5052-H32,Aluminum Alloys,5xxx Series (Al-Mg),2.68,193.0,228.0,70.3,0.33,60.0,HB,138.0,35.0,630,110,2.3,Excellent
Aluminum 6061-T6,Aluminum Alloys,6xxx Series (Al-Mg-Si),2.7,276.0,310.0,68.9,0.33,95.0,HB,167.0,43.0,652,96,2.2,Good
Aluminum 6063-T5,Aluminum Alloys,6xxx Series (Al-Mg-Si),2.7,145.0,186.0,68.3,0.33,60.0,HB,201.0,53.0,655,62,2.1,Good
Aluminum 7075-T6,Aluminum Alloys,7xxx Series (Al-Zn),2.81,503.0,572.0,71.7,0.33,150.0,HB,130.0,33.0,635,159,4.0,Fair
Aluminum 7050-T7451,Aluminum Alloys,7xxx Series (Al-Zn),2.83,469.0,552.0,71.7,0.33,147.0,HB,157.0,40.0,630,150,4.3,Good
Titanium Grade 2 (CP),Titanium Alloys,Commercially Pure Titanium,4.51,275.0,345.0,103.0,0.34,200.0,HB,16.4,3.1,1660,240,15.0,Excellent
Titanium Ti-6Al-4V,Titanium Alloys,Alpha-Beta Titanium Alloy,4.43,880.0,950.0,113.8,0.34,334.0,HB,6.7,3.1,1660,510,20.0,Excellent
Titanium Ti-6Al-4V ELI,Titanium Alloys,Alpha-Beta Titanium Alloy,4.43,795.0,860.0,114.0,0.34,320.0,HB,7.3,3.1,1650,470,25.0,Excellent
